option_type,S,K,r,q,sigma,T,t,value
EC,77.0,64.0,0.072,0.17,0.157,1.0,0.84,11.67153523707401
EC,103.0,104.0,0.056,0.045,0.237,1.0,0.89,2.810448060893691
EP,63.0,78.0,0.095,0.017,0.124,2.0,1.49,11.911385516492672
EP,117.0,106.0,0.038,0.132,0.352,5.0,1.94,29.916896608676367
EC,147.0,135.0,0.094,0.127,0.15,2.0,1.52,11.357679703285697
EP,100.0,110.0,0.044,0.118,0.283,1.0,0.72,13.828890954339528
EP,104.0,86.0,0.023,0.182,0.192,2.0,1.96,6.04000608822708e-07
EC,105.0,115.0,0.029,0.138,0.122,3.0,1.52,0.26313507302066963
EC,52.0,34.0,0.086,0.119,0.241,2.0,0.61,14.33884465531084
EC,50.0,46.0,0.032,0.186,0.35,3.0,0.63,3.73949652192103
EP,146.0,128.0,0.095,0.073,0.162,2.0,1.37,1.0740152202344646
EP,63.0,46.0,0.018,0.16,0.279,1.0,0.46,0.6380656114476588
EC,75.0,66.0,0.049,0.092,0.363,5.0,4.53,11.031686122573618
EP,73.0,60.0,0.083,0.167,0.155,3.0,0.86,4.169561748680508
EC,88.0,81.0,0.022,0.022,0.173,2.0,1.38,8.790127739499468
EP,63.0,52.0,0.059,0.1,0.346,2.0,1.83,0.36905155110983756
EP,129.0,141.0,0.032,0.026,0.159,5.0,2.52,17.702602303397384
EP,104.0,118.0,0.026,0.082,0.34,5.0,4.36,22.286570862840207
EP,66.0,70.0,0.093,0.144,0.263,2.0,0.15,12.650122146246758
EC,113.0,133.0,0.094,0.155,0.392,4.0,3.83,1.402384473576742
EC,90.0,80.0,0.013,0.165,0.36,1.0,0.44,10.032727000898312
EP,128.0,133.0,0.095,0.061,0.261,2.0,0.67,13.668626535566254
EP,139.0,132.0,0.05,0.118,0.382,1.0,0.3,15.956975555316298
EC,135.0,120.0,0.011,0.005,0.24,1.0,0.85,15.66124867815563
EC,82.0,81.0,0.076,0.185,0.346,2.0,0.38,6.888806749139022
EP,150.0,170.0,0.095,0.067,0.349,5.0,2.68,31.906294199105695
EP,136.0,154.0,0.076,0.146,0.221,5.0,4.87,19.26412377631854
EC,91.0,81.0,0.048,0.079,0.342,3.0,0.34,17.190774304515326
EP,119.0,112.0,0.086,0.03,0.396,4.0,0.73,16.711920040567396
EC,52.0,34.0,0.065,0.15,0.378,2.0,0.33,12.921983243641513
EP,143.0,144.0,0.037,0.078,0.309,1.0,0.49,14.283878197816136
EC,83.0,65.0,0.086,0.115,0.394,5.0,3.72,19.350923591514935
EP,92.0,105.0,0.083,0.058,0.364,4.0,3.55,16.136315031553053
EC,75.0,66.0,0.072,0.165,0.348,3.0,0.42,8.742124242054391
EP,117.0,125.0,0.068,0.14,0.377,4.0,3.16,23.250636478379214
EP,93.0,79.0,0.076,0.123,0.193,5.0,1.23,9.174573130503202
EP,52.0,34.0,0.094,0.136,0.31,2.0,0.13,1.654670772748796
EC,91.0,103.0,0.019,0.097,0.316,4.0,0.48,6.839643291842531
EC,119.0,134.0,0.096,0.095,0.286,2.0,0.67,8.966830290234611
EC,131.0,114.0,0.05,0.048,0.175,5.0,3.87,19.115280674712324
EC,64.0,68.0,0.04,0.083,0.143,4.0,2.17,1.5701629503859102
EC,79.0,61.0,0.044,0.166,0.236,3.0,2.22,12.106505993312126
EC,140.0,139.0,0.013,0.039,0.188,2.0,1.84,4.378988696061455
EC,118.0,129.0,0.077,0.174,0.192,1.0,0.99,6.28923332177746e-07
EC,118.0,109.0,0.044,0.067,0.193,5.0,1.2,13.337499961478017
EC,98.0,94.0,0.036,0.054,0.288,1.0,0.07,11.354999830082335
EP,66.0,60.0,0.09,0.0,0.317,5.0,0.93,4.481153960581786
BC,134.0,125.0,0.024,0.097,0.111,4.0,1.62,0.2838193816155671
EC,120.0,115.0,0.071,0.187,0.304,1.0,0.2,8.99368598471385
EP,69.0,58.0,0.035,0.095,0.234,2.0,1.31,1.7315695762914807
EC,111.0,101.0,0.056,0.153,0.217,2.0,1.3,8.498954797063476
EC,136.0,124.0,0.073,0.075,0.223,2.0,0.21,19.14304340928097
EC,122.0,135.0,0.077,0.132,0.273,1.0,0.59,3.0217184098710703
EP,72.0,53.0,0.011,0.05,0.153,1.0,0.73,0.00011546895208406228
BP,140.0,139.0,0.086,0.021,0.222,3.0,0.75,0.21859174932414457
EP,150.0,145.0,0.025,0.121,0.347,4.0,2.74,27.15888663020496
EC,144.0,133.0,0.083,0.02,0.333,4.0,1.52,42.20337846569133
EC,150.0,149.0,0.099,0.05,0.25,4.0,0.27,34.05072433381152
EC,58.0,61.0,0.054,0.022,0.141,3.0,2.17,2.314605106955387
EC,80.0,70.0,0.041,0.137,0.167,2.0,0.82,5.581874168931456
BP,115.0,107.0,0.059,0.167,0.152,4.0,2.02,0.6324366632014725
EP,119.0,123.0,0.073,0.188,0.136,4.0,0.83,32.42216746258716
EP,143.0,140.0,0.038,0.02,0.145,2.0,1.01,5.512234770035569
EC,108.0,99.0,0.057,0.096,0.108,2.0,1.61,7.705501806644477
EC,94.0,104.0,0.038,0.158,0.269,3.0,2.74,1.176223693933375
EP,59.0,70.0,0.093,0.128,0.277,4.0,3.62,12.121106259153883
EP,137.0,118.0,0.024,0.113,0.341,2.0,1.95,0.10684743194830348
EP,134.0,133.0,0.048,0.058,0.197,1.0,0.24,8.781755422615866
EC,139.0,140.0,0.047,0.172,0.117,1.0,0.02,0.9569836855519434
EC,122.0,110.0,0.077,0.176,0.191,3.0,0.35,4.979274601610221
EP,143.0,137.0,0.069,0.16,0.369,2.0,0.35,28.500896974610946
EC,107.0,111.0,0.084,0.163,0.147,3.0,0.76,1.5938876907520925
BC,142.0,146.0,0.086,0.136,0.188,4.0,2.68,0.3322093598677787
BC,132.0,124.0,0.067,0.003,0.327,4.0,3.42,0.6733939826354842
EC,66.0,60.0,0.058,0.097,0.275,4.0,0.15,8.704279067891047
EC,68.0,80.0,0.087,0.017,0.355,2.0,0.36,10.631824905366287
EP,131.0,137.0,0.059,0.065,0.167,1.0,0.72,8.326913748592006
EC,68.0,62.0,0.1,0.128,0.371,5.0,2.93,11.69796300814739
EP,114.0,105.0,0.096,0.133,0.322,1.0,0.02,10.266313813449187
EC,124.0,111.0,0.096,0.13,0.158,2.0,1.57,11.851169133609034
EC,102.0,87.0,0.043,0.018,0.293,4.0,3.51,18.060684953528025
EC,59.0,42.0,0.036,0.142,0.341,2.0,1.78,15.586575358214226
BC,86.0,76.0,0.051,0.085,0.157,2.0,1.81,0.9503517725951383
EC,113.0,130.0,0.097,0.091,0.262,5.0,0.46,13.295425249238722
EP,141.0,127.0,0.012,0.031,0.364,5.0,4.75,4.42945249713086
EP,82.0,70.0,0.033,0.085,0.321,4.0,1.22,13.132875226418985
EP,120.0,119.0,0.047,0.064,0.311,1.0,0.13,13.500051754277415
EP,66.0,53.0,0.069,0.042,0.168,5.0,3.88,0.3582518543649513
EP,114.0,112.0,0.049,0.161,0.239,4.0,1.52,27.42115972348195
EP,103.0,96.0,0.028,0.167,0.312,3.0,0.78,26.244334318924572
EC,77.0,59.0,0.06,0.178,0.262,2.0,1.74,15.5672311932314
EC,57.0,58.0,0.094,0.026,0.12,1.0,0.89,0.6517753615855284
EC,68.0,72.0,0.087,0.193,0.192,4.0,3.59,0.9439878678901046
EP,127.0,139.0,0.061,0.161,0.149,5.0,2.81,33.18788426646893
EP,126.0,144.0,0.086,0.036,0.354,5.0,3.03,25.588480388305207
EC,71.0,58.0,0.06,0.095,0.103,1.0,0.7,12.040031020641557
EC,83.0,91.0,0.054,0.161,0.167,5.0,2.22,0.6553922653778246
EP,88.0,96.0,0.03,0.109,0.132,4.0,3.2,13.56694094865989
EP,130.0,146.0,0.032,0.132,0.32,5.0,1.6,55.51704869398277
EC,102.0,104.0,0.028,0.041,0.231,1.0,0.13,7.126832679216868
EP,105.0,104.0,0.035,0.193,0.389,4.0,1.68,36.58557202101276
EP,52.0,36.0,0.026,0.064,0.282,5.0,2.66,2.59267526752911
EC,75.0,80.0,0.015,0.154,0.251,4.0,0.02,1.4196563671208766
EP,122.0,118.0,0.085,0.12,0.133,2.0,1.43,3.8145040461602306
EP,120.0,137.0,0.077,0.081,0.142,5.0,4.6,17.002354270826956
EC,88.0,95.0,0.066,0.1,0.257,3.0,0.62,6.8212833054790885
EC,127.0,139.0,0.038,0.081,0.325,4.0,0.29,15.035452804924255
EP,143.0,147.0,0.086,0.063,0.369,1.0,0.9,8.672091514943133
EP,131.0,137.0,0.02,0.067,0.166,3.0,0.09,26.7008614958049
EC,68.0,68.0,0.041,0.051,0.4,3.0,1.09,12.976123586924505
EP,102.0,119.0,0.046,0.122,0.169,3.0,1.66,26.127793970201935
EP,86.0,74.0,0.095,0.009,0.172,3.0,0.18,0.7906655611283826
EP,138.0,146.0,0.067,0.055,0.382,2.0,1.54,18.009815357819306
EC,83.0,94.0,0.052,0.084,0.325,5.0,2.28,8.986463990504554
EC,65.0,53.0,0.046,0.017,0.263,3.0,0.43,18.570710775283008
BP,71.0,81.0,0.047,0.176,0.212,3.0,0.36,0.7814937451324446
EP,92.0,83.0,0.033,0.02,0.334,4.0,2.64,8.564029693564414
EP,135.0,119.0,0.094,0.17,0.173,4.0,3.24,3.669840415369663
EC,84.0,66.0,0.022,0.002,0.387,4.0,2.86,24.190889938878477
EP,89.0,109.0,0.09,0.066,0.297,1.0,0.42,20.19634144107407
EC,106.0,114.0,0.09,0.024,0.231,4.0,0.93,21.571841547148516
EC,136.0,143.0,0.03,0.026,0.395,4.0,3.66,9.577784514644762
EP,95.0,101.0,0.084,0.062,0.242,3.0,1.3,11.909197904994947
EC,64.0,50.0,0.097,0.181,0.306,4.0,3.73,12.550109115694248
EP,132.0,113.0,0.093,0.036,0.33,4.0,0.63,10.227477144464409
EP,71.0,72.0,0.024,0.096,0.151,3.0,2.52,4.891504817957063
EC,141.0,130.0,0.04,0.007,0.307,3.0,2.06,24.22163067555141
EC,72.0,89.0,0.07,0.183,0.162,4.0,1.15,0.14595486310955796
EC,130.0,135.0,0.061,0.059,0.262,4.0,2.85,11.733666365490556
EC,139.0,133.0,0.036,0.004,0.342,1.0,0.98,6.714345574509252
EC,88.0,70.0,0.019,0.158,0.355,4.0,0.71,9.085849470711974
EP,104.0,100.0,0.079,0.052,0.227,5.0,3.44,7.064052876780103
EP,105.0,100.0,0.073,0.036,0.236,2.0,1.81,1.9282715003739703
EC,82.0,80.0,0.035,0.063,0.101,1.0,0.42,2.7624662079499487
EC,55.0,52.0,0.064,0.097,0.369,2.0,1.49,6.448372388520351
EP,79.0,97.0,0.038,0.036,0.111,1.0,0.99,17.991581883927253
EP,142.0,125.0,0.09,0.099,0.192,5.0,3.22,6.277751960723705
EP,104.0,94.0,0.088,0.048,0.311,5.0,2.09,9.606571846483977
EC,99.0,91.0,0.097,0.011,0.329,5.0,2.86,29.99526265033314
EP,69.0,75.0,0.065,0.189,0.252,1.0,0.83,7.960243251042563
EP,71.0,71.0,0.095,0.032,0.223,3.0,1.08,4.507009069254632
EC,103.0,101.0,0.029,0.081,0.225,2.0,0.55,7.737904327458672
EC,137.0,154.0,0.053,0.007,0.201,3.0,0.05,19.49239444814431
EP,123.0,121.0,0.079,0.174,0.259,1.0,0.17,14.108659113522798
EP,73.0,70.0,0.077,0.133,0.128,5.0,4.05,3.594571376720957
EC,82.0,67.0,0.056,0.189,0.106,2.0,0.67,3.9258038316345605
EC,66.0,83.0,0.077,0.182,0.205,2.0,0.43,0.4180204966819683
EC,149.0,165.0,0.094,0.174,0.257,5.0,2.69,5.991099456955492
EC,127.0,130.0,0.032,0.023,0.246,5.0,1.67,21.213233506402553
EC,101.0,94.0,0.049,0.183,0.276,4.0,3.84,7.052196889304021
EP,114.0,109.0,0.058,0.073,0.333,1.0,0.48,8.423931422241331
EC,140.0,130.0,0.045,0.041,0.223,2.0,0.58,19.087285791793633
EC,79.0,89.0,0.065,0.06,0.147,3.0,2.11,1.2578033418347019
EP,97.0,92.0,0.094,0.049,0.16,2.0,1.19,2.0906661343527517
EC,76.0,66.0,0.086,0.064,0.202,5.0,0.63,15.954881802759932
EP,87.0,79.0,0.084,0.027,0.383,2.0,0.88,7.254648444719457
EC,108.0,115.0,0.031,0.026,0.154,4.0,1.9,6.838026994808914
BP,68.0,49.0,0.064,0.08,0.119,2.0,0.65,0.010289621458366384
EC,111.0,91.0,0.08,0.105,0.137,4.0,3.8,19.13901148211596
EP,111.0,94.0,0.054,0.175,0.141,5.0,0.19,25.409010230213724
EP,134.0,117.0,0.018,0.118,0.321,1.0,0.92,0.40873073245603564
EC,84.0,77.0,0.02,0.047,0.34,5.0,3.04,15.489297564477297
EC,100.0,84.0,0.054,0.167,0.232,1.0,0.8,13.913863000213155
EC,116.0,106.0,0.018,0.151,0.218,2.0,1.94,9.226105325210668
EC,62.0,73.0,0.064,0.014,0.218,3.0,2.83,0.10389269490332254
EP,114.0,131.0,0.08,0.095,0.263,3.0,1.06,25.252173261067355
EP,93.0,89.0,0.012,0.012,0.359,4.0,2.61,13.112223182471624
EP,94.0,85.0,0.032,0.148,0.156,5.0,1.92,19.162422717788715
EP,137.0,145.0,0.085,0.027,0.181,2.0,0.6,9.592602060888062
EP,67.0,52.0,0.034,0.094,0.295,2.0,1.61,0.5364047398874536
EP,55.0,36.0,0.033,0.037,0.272,4.0,2.96,0.33633004031574787
EC,124.0,110.0,0.066,0.193,0.181,4.0,2.64,5.899147206014753
EC,90.0,82.0,0.057,0.061,0.311,2.0,1.91,8.59837830075277
EC,95.0,85.0,0.066,0.116,0.365,3.0,0.26,15.739891549914226
EC,53.0,42.0,0.093,0.11,0.152,4.0,0.47,7.266857486144364
EC,135.0,131.0,0.012,0.185,0.204,5.0,3.17,2.3583551050201166
EC,116.0,116.0,0.073,0.12,0.316,5.0,3.81,11.448943281226157
EC,71.0,71.0,0.074,0.149,0.287,3.0,2.27,4.754914587323366
EP,100.0,102.0,0.087,0.076,0.196,4.0,2.38,8.873360345206336
EP,132.0,146.0,0.073,0.194,0.353,3.0,0.49,47.8996399831328
BC,68.0,82.0,0.054,0.169,0.177,2.0,1.76,0.007371481511196581
EC,52.0,53.0,0.056,0.0,0.208,1.0,0.4,3.7037136046810986
EC,79.0,75.0,0.015,0.12,0.204,5.0,0.59,2.170542937437993
EC,90.0,71.0,0.095,0.154,0.282,5.0,3.06,14.11402402830381
EP,135.0,145.0,0.036,0.025,0.108,2.0,1.15,10.669647570956627
EP,61.0,60.0,0.016,0.159,0.14,1.0,0.89,1.0860465725346593
EC,150.0,142.0,0.095,0.189,0.21,1.0,0.47,8.590035004220837
EP,150.0,147.0,0.08,0.143,0.25,3.0,0.61,25.858867100574827
EC,128.0,138.0,0.031,0.118,0.347,1.0,0.41,6.941746780631945
EC,72.0,65.0,0.012,0.13,0.335,4.0,0.88,6.789663533294947
EP,131.0,144.0,0.1,0.122,0.334,4.0,1.03,31.187650767625193
EP,147.0,159.0,0.056,0.099,0.162,3.0,1.58,22.748481126871837
EP,82.0,73.0,0.076,0.001,0.359,4.0,2.94,5.137695430210638
EC,126.0,108.0,0.081,0.165,0.376,4.0,0.71,16.37284582982068
EP,131.0,142.0,0.08,0.04,0.298,3.0,1.83,18.521103882126503
EC,117.0,135.0,0.041,0.028,0.145,3.0,2.73,0.11709016579106768
EP,101.0,87.0,0.087,0.117,0.352,5.0,3.59,9.547581466827058
BC,95.0,85.0,0.061,0.022,0.242,3.0,0.41,0.657685960472077
EC,106.0,96.0,0.049,0.041,0.257,4.0,3.25,14.723025936975809
EP,110.0,120.0,0.06,0.186,0.398,5.0,1.62,46.93087714197671
EP,139.0,121.0,0.029,0.013,0.353,4.0,2.01,15.3195205251589
EP,101.0,83.0,0.063,0.064,0.148,2.0,0.83,0.7328991090877022
BP,109.0,95.0,0.063,0.07,0.284,5.0,3.88,0.26131976167267046
EP,101.0,101.0,0.022,0.104,0.282,5.0,4.46,10.402194434057499
EP,87.0,88.0,0.05,0.132,0.341,3.0,1.84,16.158208745383327
EC,66.0,77.0,0.054,0.035,0.164,2.0,0.59,2.0070883405796707
BP,140.0,160.0,0.041,0.157,0.273,2.0,0.83,0.7411920444937123
EP,78.0,72.0,0.06,0.094,0.369,1.0,0.02,8.531725355364546
EP,87.0,99.0,0.018,0.004,0.183,1.0,0.11,13.090384086401485
EC,55.0,69.0,0.085,0.095,0.245,5.0,3.32,2.1261014820854616
EP,104.0,118.0,0.035,0.008,0.392,1.0,0.77,16.51750133470466
EC,132.0,132.0,0.099,0.107,0.152,4.0,3.09,6.517720330960763
EP,52.0,55.0,0.011,0.062,0.242,2.0,0.66,9.401410252008883
EP,147.0,165.0,0.098,0.061,0.215,4.0,1.35,18.64906962607735
EP,91.0,107.0,0.095,0.05,0.203,3.0,1.14,13.250629882572
EC,102.0,106.0,0.04,0.065,0.323,4.0,3.43,7.363344495746141
EP,133.0,132.0,0.044,0.005,0.308,4.0,3.12,12.338656608992387
EC,51.0,49.0,0.065,0.0,0.119,5.0,0.13,15.743699635923889
EP,96.0,98.0,0.081,0.103,0.363,5.0,0.83,23.06022940220954
EC,67.0,50.0,0.082,0.191,0.362,3.0,0.37,9.454498596044747
EP,143.0,140.0,0.096,0.069,0.288,2.0,0.81,12.823192681424104
EC,93.0,100.0,0.077,0.137,0.239,1.0,0.47,2.6694047018960134
EC,136.0,123.0,0.042,0.098,0.2,5.0,3.03,12.03008010765791
EC,118.0,137.0,0.01,0.082,0.293,4.0,2.62,5.601101450514701
EC,144.0,163.0,0.024,0.036,0.389,4.0,2.84,15.701585330354305
EP,133.0,133.0,0.08,0.131,0.209,2.0,1.01,13.239703561396766
EP,150.0,157.0,0.034,0.039,0.212,5.0,0.55,27.783342008356904
BP,76.0,80.0,0.086,0.034,0.226,5.0,0.06,0.16640224531983047
EP,72.0,89.0,0.091,0.059,0.345,3.0,1.97,18.284964841854553
EP,98.0,116.0,0.064,0.157,0.315,5.0,2.9,35.52680129140307
EP,64.0,68.0,0.094,0.007,0.34,4.0,1.37,8.293572796840998
EP,93.0,105.0,0.031,0.15,0.393,4.0,0.17,47.63794384350507
EP,67.0,56.0,0.076,0.155,0.195,1.0,0.02,1.9940101356359392
EP,140.0,152.0,0.044,0.075,0.361,1.0,0.74,18.270429002237336
EC,89.0,93.0,0.093,0.086,0.119,4.0,2.12,3.904355548635415
EC,52.0,58.0,0.036,0.166,0.399,5.0,2.04,3.736247300791044
BP,137.0,138.0,0.075,0.121,0.138,3.0,1.27,0.5716928636443914
EC,76.0,75.0,0.018,0.028,0.135,3.0,0.18,5.870622261881422
EP,124.0,106.0,0.099,0.185,0.155,4.0,1.47,10.523944830533026
EC,130.0,147.0,0.042,0.132,0.196,3.0,2.7,0.5339402657257413
EC,119.0,123.0,0.014,0.078,0.273,2.0,1.75,3.990927271946113
EP,94.0,109.0,0.029,0.167,0.297,5.0,2.94,38.85908560144838
EP,105.0,125.0,0.012,0.05,0.126,4.0,2.82,24.607806677224787
EP,96.0,78.0,0.048,0.189,0.11,1.0,0.8,0.00013378061413320784
EC,61.0,53.0,0.084,0.129,0.372,3.0,2.68,8.884818831292193
EP,90.0,75.0,0.066,0.036,0.339,4.0,1.9,7.070101938518313
EP,105.0,121.0,0.056,0.102,0.2,3.0,1.46,23.943653045779968
EC,122.0,102.0,0.069,0.082,0.124,3.0,1.36,16.88015620576985
EC,56.0,59.0,0.026,0.02,0.208,1.0,0.25,2.849414219675481
EP,80.0,96.0,0.03,0.018,0.303,1.0,0.95,15.934736800455383
EP,91.0,102.0,0.045,0.138,0.249,3.0,1.11,26.616863808976433
EP,107.0,92.0,0.059,0.027,0.203,4.0,0.32,4.740000908863099
EC,72.0,74.0,0.052,0.093,0.207,5.0,0.28,4.6152029265377355
EC,123.0,117.0,0.08,0.109,0.174,1.0,0.39,8.138136246689776
EC,106.0,101.0,0.09,0.135,0.397,5.0,4.46,12.500672107318735
EP,131.0,114.0,0.011,0.031,0.294,1.0,0.21,6.465814044463123
EP,74.0,81.0,0.023,0.176,0.112,2.0,0.88,18.218399552035876
EP,76.0,60.0,0.096,0.108,0.101,4.0,0.88,0.5819916540569663
BP,140.0,155.0,0.083,0.157,0.32,5.0,4.95,0.9210079312762013
EP,101.0,98.0,0.08,0.153,0.232,2.0,1.03,10.017525725084056
EC,74.0,83.0,0.013,0.157,0.365,1.0,0.18,3.3992137706509045
EC,99.0,118.0,0.075,0.148,0.193,4.0,1.79,1.4235264412930846
BC,117.0,104.0,0.094,0.083,0.322,1.0,0.65,0.7435788152984593
EP,149.0,163.0,0.053,0.146,0.271,4.0,2.58,36.416716791086785
BC,114.0,126.0,0.032,0.181,0.169,2.0,1.38,0.08217907874227551
EP,105.0,112.0,0.035,0.025,0.173,5.0,2.51,13.037360659353794
EP,120.0,131.0,0.091,0.1,0.284,5.0,2.64,23.28973447617399
EC,139.0,158.0,0.019,0.169,0.273,5.0,3.79,3.0957187791816168
EC,134.0,133.0,0.081,0.028,0.297,3.0,0.08,33.26147313567251
EP,123.0,132.0,0.036,0.029,0.177,5.0,1.44,17.7885598167046
EC,136.0,118.0,0.056,0.027,0.182,3.0,2.33,21.206188537393743
BC,78.0,59.0,0.057,0.142,0.248,5.0,0.06,0.38340415137207695
EC,98.0,104.0,0.05,0.075,0.313,3.0,2.16,7.504898383442047
EC,136.0,137.0,0.062,0.001,0.351,3.0,0.85,34.58717211209426
EC,95.0,113.0,0.055,0.096,0.21,2.0,1.68,0.29848132224674195
EC,81.0,67.0,0.099,0.028,0.372,2.0,1.4,18.928449544592645
EP,142.0,138.0,0.03,0.012,0.143,2.0,0.8,5.532309182164447
BP,92.0,108.0,0.098,0.097,0.29,3.0,2.39,0.681110070936324
EC,55.0,62.0,0.016,0.014,0.349,2.0,0.71,6.040657690680543
EC,52.0,41.0,0.05,0.195,0.32,4.0,0.2,3.4768363048030464
EC,69.0,63.0,0.054,0.015,0.374,1.0,0.46,11.287456034765043
BC,119.0,119.0,0.07,0.072,0.165,5.0,4.65,0.504102768084767
EC,145.0,144.0,0.038,0.044,0.376,4.0,1.45,30.172334824422492
EP,94.0,114.0,0.1,0.011,0.352,4.0,2.73,19.336121444927457
EP,55.0,37.0,0.092,0.003,0.155,1.0,0.76,1.0900427976531724e-08
EP,120.0,135.0,0.055,0.012,0.233,2.0,0.06,17.511331965652822
EP,71.0,79.0,0.09,0.178,0.129,3.0,0.96,16.639522964832068
EC,123.0,131.0,0.078,0.048,0.12,4.0,2.07,7.183227927031972
EP,86.0,84.0,0.088,0.121,0.102,2.0,1.54,1.9132518060876507
EC,100.0,100.0,0.09,0.099,0.314,4.0,1.36,14.781353814154048
